,Facility,Degrees,Clustering Coefficient,Betweeness,Closeness,Eigenvector,tri_facility_id,primary_naics,parent_company_name,Chemicals
244,CASTLE OIL PORT MORRIS INC,149,0.47569381462,0.0259912412485,0.61744966443,0.0476420803908,10454CSTLL939E1,424710,CASTLE OIL CO,"['LEAD', 'NAPHTHALENE', 'POLYCYCLIC AROMATIC COMPOUNDS']"
99,SCEPTER NEW YORK INC,148,0.366611509469,0.0343490772933,0.61744966443,0.0225580426659,13148SCPTR11LAM,331314,SCEPTER INC,"['AMMONIA', 'COPPER', 'DIOXIN AND DIOXIN-LIKE COMPOUNDS', 'HYDROCHLORIC ACID (1995 AND AFTER ACID AEROSOLS"" ONLY)""', 'HYDROGEN FLUORIDE', 'LEAD']"
184,REYNOLDS METALS CO ST LAWRENCE REDUCTION PLANT,138,0.472654183857,0.0228242541706,0.605263157895,0.065996573831,13662RYNLDSOUTH,331313,ALCOA INC,"['BENZENE', 'BENZO(G,H,I)PERYLENE', 'CARBONYL SULFIDE', 'DINITROTOLUENE (MIXED ISOMERS)', 'DIOXIN AND DIOXIN-LIKE COMPOUNDS', 'HYDROGEN FLUORIDE', 'LEAD COMPOUNDS', 'POLYCYCLIC AROMATIC COMPOUNDS']"
151,RED-ROCHESTER LLC - EASTMAN BUSINESS PARK,136,0.479738562092,0.0241925312179,0.593548387097,0.0426595528179,1461WRDRCH12RID,221112,RECYCLED ENERGY DEVELOPMENT LLC,"['BARIUM COMPOUNDS', 'DIOXIN AND DIOXIN-LIKE COMPOUNDS', 'HYDROCHLORIC ACID (1995 AND AFTER ACID AEROSOLS"" ONLY)""', 'LEAD COMPOUNDS', 'MERCURY COMPOUNDS', 'POLYCYCLIC AROMATIC COMPOUNDS', 'SULFURIC ACID (1994 AND AFTER ACID AEROSOLS"" ONLY)""']"
331,BUCKEYE TERMINALS LLC - BRONX TERMINAL,136,0.496949891068,0.01874938995,0.60626029654,0.0712450430277,1045WHSSCR14EAS,493190,BUCKEYE TERMINALS LLC,"['1,2,4-TRIMETHYLBENZENE', 'LEAD COMPOUNDS', 'NAPHTHALENE', 'POLYCYCLIC AROMATIC COMPOUNDS']"
44,NOVELIS CORP,133,0.400888585099,0.0342380157484,0.602291325696,0.020009494079,13126LCNRLLAKER,331315,NOVELIS CORP,"['ALUMINUM (FUME OR DUST)', 'CHLORINE', 'CHROMIUM', 'COPPER', 'DIOXIN AND DIOXIN-LIKE COMPOUNDS', 'HYDROCHLORIC ACID (1995 AND AFTER ACID AEROSOLS"" ONLY)""', 'LEAD', 'MANGANESE']"
232,HADCO (SANMINA) CORP - OWEGO DIV,133,0.353953064479,0.0337380580732,0.603278688525,0.0278136420347,13827HDCCRBODLE,334412,SANMINA CORP,"['AMMONIA', 'CERTAIN GLYCOL ETHERS', 'COPPER COMPOUNDS', 'FORMALDEHYDE', 'HYDROCHLORIC ACID (1995 AND AFTER ACID AEROSOLS"" ONLY)""', 'LEAD COMPOUNDS', 'NICKEL COMPOUNDS', 'NITRIC ACID', 'SULFURIC ACID (1994 AND AFTER ACID AEROSOLS"" ONLY)""']"
5,US DOE BROOKHAVEN NATIONAL LABORATORY,132,0.549271339348,0.0265802621731,0.59837398374,0.0392761208136,11973SDBRK53BEL,541712,US DEPARTMENT OF ENERGY,"['BENZO(G,H,I)PERYLENE', 'LEAD', 'MERCURY', 'POLYCYCLIC AROMATIC COMPOUNDS']"
216,UNITED RIVERHEAD TERMINAL INC,130,0.564698867024,0.019837248696,0.601307189542,0.181466386927,11901TSCCR212SO,424710,UNITED REFINING CORP,"['1,2,4-TRIMETHYLBENZENE', 'BENZENE', 'ETHYLBENZENE', 'HYDROGEN SULFIDE', 'N-HEXANE', 'NAPHTHALENE', 'POLYCYCLIC AROMATIC COMPOUNDS', 'TOLUENE', 'XYLENE (MIXED ISOMERS)']"
146,GM COMPONENTS HOLDINGS LLC,129,0.423934108527,0.0306024111786,0.599348534202,0.0343228682917,14094GNRLM200UP,336390,GENERAL MOTORS LLC,"['1,2,4-TRIMETHYLBENZENE', 'CHROMIUM', 'COPPER', 'LEAD', 'MANGANESE', 'NICKEL']"
145,GM COMPONENTS HOLDINGS LLC,129,0.423934108527,0.0306024111786,0.599348534202,0.0343228682917,14603GNRLM1000L,336310,GENERAL MOTORS LLC,"['1,2,4-TRIMETHYLBENZENE', 'CHROMIUM', 'COPPER', 'LEAD', 'MANGANESE', 'NICKEL']"
353,GLOBAL COS LLC NORTH TERMINAL,128,0.57874015748,0.0191195923687,0.599348534202,0.180897983887,12553WRXTRRIVER,424710,GLOBAL COS LLC,"['1,2,4-TRIMETHYLBENZENE', 'BENZENE', 'ETHYLBENZENE', 'N-HEXANE', 'NAPHTHALENE', 'POLYCYCLIC AROMATIC COMPOUNDS', 'TOLUENE', 'XYLENE (MIXED ISOMERS)']"
150,SUNOCO PARTNERS MKT & TERM - SYRACUSE (TED PARK) TERMINAL,128,0.57874015748,0.0225069728141,0.599348534202,0.191900666725,13164MBLLS6700H,493190,SUNOCO PARTNERS MARKETING & TERMINALS LP,"['1,2,4-TRIMETHYLBENZENE', 'BENZENE', 'BENZO(G,H,I)PERYLENE', 'ETHYLBENZENE', 'N-HEXANE', 'NAPHTHALENE', 'POLYCYCLIC AROMATIC COMPOUNDS', 'TOLUENE', 'XYLENE (MIXED ISOMERS)']"
188,GRIFFITH ENERGY - BIG FLATS,128,0.57874015748,0.0231073181989,0.599348534202,0.204680963455,14814GRFFTSTATE,424710,SUPERIOR PLUS ENERGY SERVICES INC.,"['1,2,4-TRIMETHYLBENZENE', 'BENZENE', 'BENZO(G,H,I)PERYLENE', 'CUMENE', 'CYCLOHEXANE', 'ETHYLBENZENE', 'METHYL TERT-BUTYL ETHER', 'N-HEXANE', 'NAPHTHALENE', 'POLYCYCLIC AROMATIC COMPOUNDS', 'TOLUENE', 'XYLENE (MIXED ISOMERS)']"
95,MOHAWK - MARCY TERMINAL,128,0.57874015748,0.0227106827739,0.599348534202,0.197288132628,13403MHWKV9678R,424710,SUPERIOR PLUS ENERGY SERVICES INC.,"['1,2,4-TRIMETHYLBENZENE', 'BENZENE', 'BENZO(G,H,I)PERYLENE', 'CYCLOHEXANE', 'ETHYLBENZENE', 'N-HEXANE', 'NAPHTHALENE', 'POLYCYCLIC AROMATIC COMPOUNDS', 'TOLUENE', 'XYLENE (MIXED ISOMERS)']"
94,GRIFFITH ENERGY - ROCHESTER TERMINAL,128,0.57874015748,0.0231073181989,0.599348534202,0.204680963455,14611GRFFT27533,424710,SUPERIOR PLUS ENERGY SERVICES INC.,"['1,2,4-TRIMETHYLBENZENE', 'BENZENE', 'BENZO(G,H,I)PERYLENE', 'CUMENE', 'CYCLOHEXANE', 'ETHYLBENZENE', 'METHYL TERT-BUTYL ETHER', 'N-HEXANE', 'NAPHTHALENE', 'POLYCYCLIC AROMATIC COMPOUNDS', 'TOLUENE', 'XYLENE (MIXED ISOMERS)']"
175,BUCKEYE ROCHESTER WEST TERMINAL,127,0.583177102862,0.02105408476,0.59837398374,0.172474904829,14606MRDHS1975L,493190,BUCKEYE ROCHESTER TERMINAL LLC,"['1,2,4-TRIMETHYLBENZENE', 'BENZENE', 'BENZO(G,H,I)PERYLENE', 'ETHYLBENZENE', 'N-HEXANE', 'POLYCYCLIC AROMATIC COMPOUNDS', 'TOLUENE', 'XYLENE (MIXED ISOMERS)']"
373,UNITED METRO ENERGY CORP,127,0.583177102862,0.017638207351,0.59837398374,0.161328112984,11222MTRTR498KI,424710,,"['1,2,4-TRIMETHYLBENZENE', 'BENZENE', 'ETHYLBENZENE', 'N-HEXANE', 'POLYCYCLIC AROMATIC COMPOUNDS', 'TOLUENE', 'XYLENE (MIXED ISOMERS)']"
35,KEYMARK CORP,125,0.418451612903,0.0292145623256,0.597402597403,0.114353351198,12068KYMRKRTE33,331314,KEYMARK CORP,"['1,2,4-TRIMETHYLBENZENE', 'CERTAIN GLYCOL ETHERS', 'CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION)', 'DIMETHYL PHTHALATE', 'ETHYLBENZENE', 'HYDROGEN FLUORIDE', 'N-BUTYL ALCOHOL', 'NITRATE COMPOUNDS', 'SODIUM NITRITE', 'SULFURIC ACID (1994 AND AFTER ACID AEROSOLS"" ONLY)""', 'TOLUENE', 'XYLENE (MIXED ISOMERS)']"
91,SOMERSET OPERATING CO LLC,125,0.375483870968,0.0337261193567,0.595469255663,0.0347297408665,14012SSMRS7725L,221112,"UPSTATE NEW YORK POWER PRODUCERS,INC.","['AMMONIA', 'ARSENIC COMPOUNDS', 'BARIUM COMPOUNDS', 'CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION)', 'COPPER COMPOUNDS', 'DIOXIN AND DIOXIN-LIKE COMPOUNDS', 'HYDROCHLORIC ACID (1995 AND AFTER ACID AEROSOLS"" ONLY)""', 'HYDROGEN FLUORIDE', 'LEAD COMPOUNDS', 'MANGANESE COMPOUNDS', 'MERCURY COMPOUNDS', 'NICKEL COMPOUNDS', 'SULFURIC ACID (1994 AND AFTER ACID AEROSOLS"" ONLY)""', 'VANADIUM COMPOUNDS', 'ZINC COMPOUNDS']"
242,I3 ELECTRONICS INC,125,0.452387096774,0.0217100505072,0.597402597403,0.0442645095423,13760NDCTT1701N,334412,,"['CERTAIN GLYCOL ETHERS', 'COPPER COMPOUNDS', 'LEAD COMPOUNDS', 'SULFURIC ACID (1994 AND AFTER ACID AEROSOLS"" ONLY)""', 'TOLUENE']"
289,GLOBE METALLURGICAL INC,122,0.544641647473,0.0192411790819,0.576802507837,0.0443090389283,14305SKWLL3801H,331110,GLOBE SPECIALTY METALS INC,"['BENZO(G,H,I)PERYLENE', 'LEAD COMPOUNDS', 'POLYCYCLIC AROMATIC COMPOUNDS', 'SULFURIC ACID (1994 AND AFTER ACID AEROSOLS"" ONLY)""']"
347,GOODYEAR DUNLOP TIRE NA LTD,121,0.54132231405,0.0171916687943,0.585055643879,0.0304312139214,14240DNLPT10SHE,326211,THE GOODYEAR TIRE & RUBBER CO,"['COBALT COMPOUNDS', 'LEAD COMPOUNDS', 'POLYCYCLIC AROMATIC COMPOUNDS', 'ZINC COMPOUNDS']"
11,DU PONT NIAGARA FALLS PLANT,120,0.548179271709,0.0169803536002,0.576802507837,0.0319980796293,14302DPNTNBUFFA,325180,E I DU PONT DE NEMOURS & CO,"['BARIUM COMPOUNDS', 'CHLORINE', 'LEAD COMPOUNDS', 'POLYCYCLIC AROMATIC COMPOUNDS']"
123,GRIFFITH ENERGY - PALMYRA,120,0.618767507003,0.012473691215,0.591639871383,0.078746345799,14522GRFFT3849R,424710,SUPERIOR PLUS ENERGY SERVICES INC.,"['POLYCYCLIC AROMATIC COMPOUNDS', 'TOLUENE', 'XYLENE (MIXED ISOMERS)']"
295,GRIFFITH ENERGY - WATERTOWN,120,0.618767507003,0.012473691215,0.591639871383,0.078746345799,13601GRFFT21822,424710,SUPERIOR PLUS ENERGY SERVICES INC.,"['POLYCYCLIC AROMATIC COMPOUNDS', 'TOLUENE', 'XYLENE (MIXED ISOMERS)']"
254,GRIFFITH ENERGY - LODI,120,0.618767507003,0.012473691215,0.591639871383,0.078746345799,14860GRFFT8571R,424710,SUPERIOR PLUS ENERGY SERVICES INC.,"['POLYCYCLIC AROMATIC COMPOUNDS', 'TOLUENE', 'XYLENE (MIXED ISOMERS)']"
143,SABIN METAL CORP,119,0.47343683236,0.0252727165745,0.5888,0.0144721032317,14546SBNMT1647W,331492,SABIN METAL CORP,"['AMMONIA', 'HYDROCHLORIC ACID (1995 AND AFTER ACID AEROSOLS"" ONLY)""', 'LEAD', 'NITRATE COMPOUNDS']"
236,CAYUGA OPERATING CO LLC,111,0.437674037674,0.0246383052065,0.573208722741,0.0300040402558,14882SCYGL228MI,221112,"UPSTATE NEW YORK POWER PRODUCERS,INC.","['AMMONIA', 'BARIUM COMPOUNDS', 'DIOXIN AND DIOXIN-LIKE COMPOUNDS', 'FORMIC ACID', 'HYDROCHLORIC ACID (1995 AND AFTER ACID AEROSOLS"" ONLY)""', 'HYDROGEN FLUORIDE', 'LEAD COMPOUNDS', 'MANGANESE COMPOUNDS', 'MERCURY COMPOUNDS', 'SULFURIC ACID (1994 AND AFTER ACID AEROSOLS"" ONLY)""', 'VANADIUM COMPOUNDS']"
291,DUREZ NIAGARA,108,0.444963655244,0.0277574921128,0.580441640379,0.0765975003668,14304BTLSP5000P,325211,DUREZ CORP,"['ALLYL CHLORIDE', 'AMMONIA', 'CRESOL (MIXED ISOMERS)', 'ETHYLBENZENE', 'FORMALDEHYDE', 'METHANOL', 'METHYL ISOBUTYL KETONE', 'N-BUTYL ALCOHOL', 'O-CRESOL', 'O-XYLENE', 'PHENOL', 'TRIETHYLAMINE', 'XYLENE (MIXED ISOMERS)']"
135,EASTERN ALLOYS INC,106,0.517699910153,0.0204972349578,0.577708006279,0.010991554542,12543STRNLHENRY,331492,EASTERN ALLOYS INC,"['COPPER', 'LEAD', 'ZINC (FUME OR DUST)', 'ZINC COMPOUNDS']"
121,SABIC INNOVATIVE PLASTICS US LLC,104,0.435212845407,0.0244824051404,0.576802507837,0.0446862241124,12158GNRLLNORYL,325211,SABIC US HOLDINGS LP,"['2,4-DIMETHYLPHENOL', 'ANTIMONY COMPOUNDS', 'COPPER COMPOUNDS', 'CRESOL (MIXED ISOMERS)', 'METHANOL', 'PHENOL', 'STYRENE', 'TOLUENE', 'ZINC COMPOUNDS']"
82,MORTON SALT,101,0.569306930693,0.0202242275481,0.57231726283,0.013684336956,14550MRTNS45RIB,311942,MORTON SALT INC,"['HYDROCHLORIC ACID (1995 AND AFTER ACID AEROSOLS"" ONLY)""', 'LEAD', 'MERCURY', 'SULFURIC ACID (1994 AND AFTER ACID AEROSOLS"" ONLY)""']"
20,VANDEMARK CHEMICAL INC,101,0.518811881188,0.0190210901008,0.574102964119,0.0693389409044,14094VNDMR1NORT,325199,,"['CHLORINE', 'CHLOROBENZENE', 'DICHLOROMETHANE', 'HYDROCHLORIC ACID (1995 AND AFTER ACID AEROSOLS"" ONLY)""', 'N,N-DIMETHYLFORMAMIDE', 'PHOSGENE', 'PROPARGYL ALCOHOL', 'TOLUENE', 'XYLENE (MIXED ISOMERS)']"
71,CONSOLIDATED EDISON CO OF NEW YORK - EAST RIVER FACILITY,99,0.644403215832,0.0141123742566,0.556732223903,0.0377954703367,10009CNSLD801E1,221112,,"['AMMONIA', 'BENZO(G,H,I)PERYLENE', 'POLYCYCLIC AROMATIC COMPOUNDS']"
215,TRANSCANADA RAVENSWOOD POWER STATION,99,0.644403215832,0.0141123742566,0.556732223903,0.0377954703367,11101CNSLD3854V,221112,TRANSCANADA LTD,"['AMMONIA', 'BENZO(G,H,I)PERYLENE', 'POLYCYCLIC AROMATIC COMPOUNDS']"
164,NATIONAL GRID  PORT JEFFERSON POWER STATION,99,0.644403215832,0.0141123742566,0.556732223903,0.0377954703367,11777PRTJFBEECH,221112,NATIONAL GRID USA,"['AMMONIA', 'BENZO(G,H,I)PERYLENE', 'POLYCYCLIC AROMATIC COMPOUNDS']"
148,BUCKEYE TERMINALS LLC - ROSETON TERMINAL,99,0.682951968666,0.0114073501674,0.571428571429,0.0849057861389,12550MRDHS590RI,493190,BUCKEYE TERMINALS LLC,"['1,2,4-TRIMETHYLBENZENE', 'N-HEXANE', 'NAPHTHALENE', 'POLYCYCLIC AROMATIC COMPOUNDS']"
141,GOULDS PUMPS ADMINISTRATION INC,96,0.482675438596,0.0221495148587,0.568778979907,0.0353430957719,13148GLDSP240FA,333911,ITT CORP,"['CHROMIUM', 'COPPER', 'MANGANESE', 'NICKEL', 'TOLUENE']"
26,METALLIZED CARBON CORP,96,0.64298245614,0.0125090144495,0.563552833078,0.0243117131137,10562MTLLZ19SOU,339999,,"['ANTIMONY', 'COPPER', 'POLYCYCLIC AROMATIC COMPOUNDS']"
106,GENERAL ELECTRIC CO CPQP,96,0.610745614035,0.0178167547042,0.563552833078,0.00969448785803,12328GNRLL381UP,335999,GENERAL ELECTRIC CO (GE CO),"['CHROMIUM', 'COPPER', 'LEAD']"
227,SI GROUP INC,96,0.452850877193,0.0271673103,0.568778979907,0.0753175263611,12150SCHNC1000M,325211,SI GROUP INC,"['CERTAIN GLYCOL ETHERS', 'ETHYLBENZENE', 'FORMALDEHYDE', 'M-CRESOL', 'METHANOL', 'METHYL ISOBUTYL KETONE', 'N-BUTYL ALCOHOL', 'O-CRESOL', 'P-CRESOL', 'PHENOL', 'STYRENE', 'XYLENE (MIXED ISOMERS)']"
319,GLOBALFOUNDRIES FAB 8,96,0.394298245614,0.0267930488044,0.568778979907,0.0193351121078,1202WGLBLF4STNE,334413,GLOBALFOUNDRIES U.S. INC.,"['AMMONIA', 'ETHYLENE GLYCOL', 'FLUORINE', 'HYDROCHLORIC ACID (1995 AND AFTER ACID AEROSOLS"" ONLY)""', 'HYDROGEN FLUORIDE', 'NITRIC ACID', 'OZONE', 'SULFURIC ACID (1994 AND AFTER ACID AEROSOLS"" ONLY)""']"
113,TONOGA INC DBA TACONIC,93,0.568957456755,0.017787583601,0.566153846154,0.0827916660707,12138TCNCPCOONB,313320,,"['ALUMINUM (FUME OR DUST)', 'COPPER', 'ETHYLBENZENE', 'TOLUENE', 'XYLENE (MIXED ISOMERS)']"
251,LAFARGE BUILDING MATERIALS INC,91,0.547252747253,0.0155305808764,0.55421686747,0.0177969977594,12143BLCRCROUTE,327310,LAFARGE N.A. INC,"['AMMONIA', 'HYDROCHLORIC ACID (1995 AND AFTER ACID AEROSOLS"" ONLY)""', 'LEAD COMPOUNDS', 'MERCURY COMPOUNDS']"
328,OSWEGO HARBOR POWER,89,0.7208886619,0.0109265639014,0.545994065282,0.037307590248,13126NGRMH261WA,221112,NRG ENERGY INC,"['BENZO(G,H,I)PERYLENE', 'POLYCYCLIC AROMATIC COMPOUNDS', 'SULFURIC ACID (1994 AND AFTER ACID AEROSOLS"" ONLY)""']"
190,NOCO ENERGY CORP,89,0.643003064351,0.0193197443471,0.563552833078,0.168712772327,14150NCNRG700GR,424710,NOCO ENERGY CORP,"['1,2,4-TRIMETHYLBENZENE', 'BENZENE', 'CYCLOHEXANE', 'ETHYLBENZENE', 'ETHYLENE GLYCOL', 'N-HEXANE', 'NAPHTHALENE', 'TOLUENE', 'XYLENE (MIXED ISOMERS)']"
102,ASTORIA GENERATING STATION,88,0.763845350052,0.00941260069853,0.55842185129,0.0542153541804,11105STRGN18012,221112,US POWER GENERATING CO,"['BENZO(G,H,I)PERYLENE', 'NAPHTHALENE', 'POLYCYCLIC AROMATIC COMPOUNDS']"
197,KERRY BIO-SCIENCE,88,0.599007314525,0.0109254607889,0.562691131498,0.0334010422991,13815SHFFLWOODS,311514,KERRY INC.,"['AMMONIA', 'TOLUENE']"
283,METALICO ALUMINUM RECOVERY INC,88,0.691222570533,0.0138672613312,0.556732223903,0.00924126702993,13206RTHBR6223T,331314,METALICO INC,"['ALUMINUM (FUME OR DUST)', 'COPPER', 'LEAD']"
